Date,Product,Country,Store,Quantity,Unit_Price,Unit_Cost
2023-01-17,Monitor,USA,Store_A,1,300,200
2023-01-17,Keyboard,USA,Store_A,2,80,40
2023-01-17,Keyboard,Argentina,Store_B,10,80,40
2023-01-18,Mouse,Spain,Store_C,3,50,20
2023-01-18,Laptop,Argentina,Store_B,3,1200,800
2023-01-18,Mouse,USA,Store_B,10,50,20
2023-01-18,Keyboard,Argentina,Store_A,10,80,40
2023-01-18,Laptop,Spain,Store_C,6,1200,800
2023-01-18,Headset,Spain,Store_C,1,100,60
2023-01-18,Mouse,Spain,Store_B,4,50,20
2023-01-19,Headset,Spain,Store_C,10,100,60
2023-01-19,Keyboard,Argentina,Store_A,6,80,40
2023-01-19,Keyboard,Argentina,Store_A,3,80,40
2023-01-19,Keyboard,Argentina,Store_C,9,80,40
2023-01-19,Mouse,USA,Store_A,8,50,20
2023-01-20,Headset,Spain,Store_C,1,100,60
2023-01-20,Laptop,Argentina,Store_A,10,1200,800
2023-01-20,Headset,Argentina,Store_A,9,100,60
2023-01-20,Monitor,Argentina,Store_A,8,300,200
2023-01-20,Monitor,Argentina,Store_B,9,300,200
2023-01-21,Monitor,USA,Store_C,8,300,200
2023-01-21,Monitor,Spain,Store_A,10,300,200
2023-01-21,Keyboard,Argentina,Store_C,9,80,40
2023-01-21,Mouse,USA,Store_A,1,50,20
2023-01-21,Headset,USA,Store_A,8,100,60
2023-01-21,Laptop,USA,Store_B,3,1200,800
2023-01-21,Headset,USA,Store_C,1,100,60
2023-01-21,Headset,USA,Store_A,1,100,60
2023-01-21,Mouse,Argentina,Store_A,1,50,20
2023-01-21,Headset,Spain,Store_A,1,100,60
2023-01-21,Headset,USA,Store_A,10,100,60
2023-01-21,Laptop,Argentina,Store_C,9,1200,800
2023-01-22,Mouse,Spain,Store_B,10,50,20
2023-01-22,Headset,Argentina,Store_B,8,100,60
2023-01-22,Headset,Argentina,Store_A,1,100,60
2023-01-22,Monitor,Argentina,Store_B,10,300,200
2023-01-22,Mouse,Spain,Store_B,5,50,20
2023-01-22,Monitor,USA,Store_A,7,300,200
2023-01-22,Mouse,Argentina,Store_A,4,50,20
2023-01-22,Laptop,Argentina,Store_B,4,1200,800
2023-01-22,Keyboard,USA,Store_C,7,80,40
2023-01-23,Monitor,Spain,Store_C,5,300,200
2023-01-23,Laptop,Spain,Store_C,5,1200,800
2023-01-23,Mouse,USA,Store_A,1,50,20
2023-01-23,Headset,USA,Store_A,1,100,60
2023-01-23,Laptop,Spain,Store_C,4,1200,800
2023-01-23,Laptop,Argentina,Store_B,8,1200,800
2023-01-23,Headset,Argentina,Store_B,6,100,60
2023-01-23,Keyboard,USA,Store_A,7,80,40
2023-01-24,Mouse,Argentina,Store_B,3,50,20
2023-01-24,Keyboard,USA,Store_C,2,80,40
2023-01-24,Monitor,Argentina,Store_C,5,300,200
2023-01-24,Keyboard,Argentina,Store_C,5,80,40
2023-01-24,Monitor,USA,Store_B,5,300,200
2023-01-24,Headset,USA,Store_B,7,100,60
2023-01-24,Mouse,USA,Store_A,8,50,20
2023-01-24,Headset,USA,Store_A,2,100,60
2023-01-24,Keyboard,USA,Store_B,4,80,40
2023-01-24,Keyboard,USA,Store_A,2,80,40
2023-01-24,Monitor,Spain,Store_B,2,300,200
2023-01-25,Monitor,Argentina,Store_B,3,300,200
2023-01-25,Laptop,Argentina,Store_B,5,1200,800
2023-01-25,Monitor,USA,Store_B,4,300,200
2023-01-25,Headset,Argentina,Store_B,8,100,60
2023-01-25,Keyboard,Spain,Store_A,10,80,40
2023-01-26,Keyboard,Argentina,Store_A,5,80,40
2023-01-26,Laptop,Spain,Store_C,2,1200,800
2023-01-26,Keyboard,USA,Store_A,1,80,40
2023-01-26,Keyboard,Argentina,Store_C,6,80,40
2023-01-26,Mouse,USA,Store_A,10,50,20
2023-01-26,Keyboard,Spain,Store_A,1,80,40
2023-01-26,Monitor,Spain,Store_C,3,300,200
2023-01-27,Keyboard,Spain,Store_A,7,80,40
2023-01-27,Laptop,Spain,Store_C,6,1200,800
2023-01-28,Mouse,USA,Store_A,7,50,20
2023-01-28,Headset,USA,Store_B,1,100,60
2023-01-28,Keyboard,USA,Store_A,2,80,40
2023-01-28,Headset,Spain,Store_B,10,100,60
2023-01-29,Laptop,USA,Store_B,2,1200,800
2023-01-29,Laptop,USA,Store_B,8,1200,800
2023-01-29,Headset,USA,Store_B,9,100,60
2023-01-29,Keyboard,Argentina,Store_A,2,80,40
2023-01-29,Headset,Argentina,Store_C,7,100,60
2023-01-29,Headset,USA,Store_A,5,100,60
2023-01-30,Keyboard,Argentina,Store_C,6,80,40
2023-01-30,Laptop,USA,Store_B,9,1200,800
2023-01-30,Mouse,Argentina,Store_C,7,50,20
2023-01-30,Keyboard,Argentina,Store_B,2,80,40
2023-01-30,Keyboard,Argentina,Store_B,2,80,40
2023-01-30,Mouse,USA,Store_A,1,50,20
2023-01-30,Laptop,USA,Store_A,9,1200,800
2023-01-30,Mouse,Spain,Store_C,2,50,20
2023-01-30,Laptop,Argentina,Store_A,1,1200,800
2023-01-30,Mouse,Argentina,Store_B,3,50,20
2023-01-30,Keyboard,Spain,Store_C,3,80,40
2023-01-31,Headset,USA,Store_C,3,100,60
2023-01-31,Mouse,USA,Store_C,5,50,20
2023-01-31,Mouse,Spain,Store_C,4,50,20
2023-01-31,Mouse,Spain,Store_C,7,50,20
2023-01-31,Headset,USA,Store_B,10,100,60
2023-01-31,Laptop,Spain,Store_C,5,1200,800
2023-01-31,Keyboard,USA,Store_A,2,80,40
2023-01-31,Laptop,Spain,Store_C,1,1200,800
2023-02-01,Laptop,USA,Store_A,5,1200,800
2023-02-01,Monitor,Argentina,Store_C,7,300,200
2023-02-01,Laptop,USA,Store_A,10,1200,800
2023-02-01,Mouse,Spain,Store_C,6,50,20
2023-02-01,Monitor,Spain,Store_C,8,300,200
2023-02-02,Laptop,Spain,Store_C,7,1200,800
2023-02-02,Headset,USA,Store_A,7,100,60
2023-02-02,Monitor,USA,Store_B,2,300,200
2023-02-02,Keyboard,USA,Store_B,7,80,40
2023-02-02,Headset,USA,Store_A,9,100,60
2023-02-02,Laptop,Spain,Store_A,5,1200,800
2023-02-02,Monitor,Argentina,Store_B,9,300,200
2023-02-03,Monitor,Argentina,Store_B,2,300,200
2023-02-03,Headset,Argentina,Store_A,3,100,60
2023-02-03,Keyboard,USA,Store_A,2,80,40
2023-02-03,Laptop,USA,Store_A,9,1200,800
2023-02-03,Keyboard,Spain,Store_A,10,80,40
2023-02-04,Mouse,Argentina,Store_B,1,50,20
2023-02-04,Laptop,Spain,Store_C,1,1200,800
2023-02-04,Headset,Spain,Store_B,10,100,60
2023-02-04,Laptop,USA,Store_A,4,1200,800
2023-02-04,Headset,Spain,Store_B,4,100,60
2023-02-04,Mouse,Spain,Store_C,1,50,20
2023-02-05,Laptop,Argentina,Store_A,9,1200,800
2023-02-05,Headset,Argentina,Store_C,6,100,60
2023-02-05,Monitor,Argentina,Store_B,3,300,200
2023-02-05,Laptop,Argentina,Store_A,6,1200,800
2023-02-05,Headset,Argentina,Store_C,8,100,60
2023-02-06,Headset,Spain,Store_B,3,100,60
2023-02-06,Keyboard,Argentina,Store_A,1,80,40
2023-02-06,Headset,Argentina,Store_B,9,100,60
2023-02-06,Keyboard,Argentina,Store_C,10,80,40
2023-02-06,Laptop,Argentina,Store_A,3,1200,800
2023-02-06,Monitor,Argentina,Store_C,7,300,200
2023-02-06,Mouse,Spain,Store_A,3,50,20
2023-02-06,Laptop,Spain,Store_B,5,1200,800
2023-02-06,Mouse,Argentina,Store_A,2,50,20
2023-02-06,Headset,Spain,Store_C,7,100,60
2023-02-06,Mouse,Spain,Store_A,3,50,20
2023-02-07,Monitor,USA,Store_B,1,300,200
2023-02-07,Mouse,Spain,Store_A,4,50,20
2023-02-07,Headset,Argentina,Store_B,1,100,60
2023-02-07,Headset,Argentina,Store_B,6,100,60
2023-02-07,Laptop,Argentina,Store_C,7,1200,800
2023-02-08,Laptop,Argentina,Store_C,7,1200,800
2023-02-08,Headset,Argentina,Store_C,1,100,60
2023-02-08,Headset,USA,Store_C,10,100,60
2023-02-08,Headset,Spain,Store_A,3,100,60
2023-02-08,Keyboard,Argentina,Store_C,1,80,40
2023-02-08,Laptop,Spain,Store_C,1,1200,800
2023-02-08,Keyboard,Spain,Store_A,1,80,40
2023-02-08,Keyboard,Argentina,Store_A,7,80,40
2023-02-08,Mouse,USA,Store_C,10,50,20
2023-02-08,Headset,USA,Store_A,10,100,60
2023-02-08,Headset,Spain,Store_B,9,100,60
2023-02-08,Monitor,Argentina,Store_C,6,300,200
2023-02-09,Monitor,Spain,Store_C,10,300,200
2023-02-09,Keyboard,Argentina,Store_C,2,80,40
2023-02-09,Keyboard,Spain,Store_A,3,80,40
2023-02-09,Keyboard,USA,Store_B,4,80,40
2023-02-09,Monitor,USA,Store_A,9,300,200
2023-02-09,Mouse,Spain,Store_C,3,50,20
2023-02-10,Laptop,USA,Store_C,3,1200,800
2023-02-10,Headset,Argentina,Store_B,10,100,60
2023-02-11,Laptop,Argentina,Store_B,10,1200,800
2023-02-11,Monitor,Argentina,Store_C,8,300,200
2023-02-11,Monitor,USA,Store_A,10,300,200
2023-02-11,Laptop,Spain,Store_A,10,1200,800
2023-02-11,Headset,Spain,Store_B,4,100,60
2023-02-12,Keyboard,Argentina,Store_B,8,80,40
2023-02-12,Laptop,USA,Store_A,1,1200,800
2023-02-12,Laptop,USA,Store_A,2,1200,800
2023-02-12,Keyboard,Argentina,Store_B,1,80,40
2023-02-12,Laptop,Spain,Store_B,7,1200,800
2023-02-12,Laptop,Spain,Store_B,6,1200,800
2023-02-12,Keyboard,Argentina,Store_A,2,80,40
2023-02-13,Mouse,Spain,Store_A,3,50,20
2023-02-13,Monitor,Argentina,Store_A,9,300,200
2023-02-13,Mouse,Spain,Store_A,10,50,20
2023-02-13,Mouse,Argentina,Store_A,8,50,20
2023-02-13,Laptop,Argentina,Store_A,3,1200,800
2023-02-13,Monitor,Argentina,Store_A,2,300,200
2023-02-14,Headset,USA,Store_C,8,100,60
2023-02-14,Mouse,USA,Store_A,1,50,20
2023-02-14,Mouse,Argentina,Store_C,3,50,20
2023-02-14,Keyboard,USA,Store_B,2,80,40
2023-02-14,Headset,USA,Store_C,4,100,60
2023-02-15,Keyboard,Argentina,Store_A,8,80,40
2023-02-15,Keyboard,Spain,Store_A,5,80,40
2023-02-15,Headset,USA,Store_C,8,100,60
2023-02-15,Monitor,Spain,Store_A,3,300,200
2023-02-15,Mouse,Spain,Store_B,3,50,20
2023-02-15,Laptop,USA,Store_C,9,1200,800
2023-02-15,Headset,USA,Store_A,3,100,60
2023-02-15,Laptop,Spain,Store_C,5,1200,800
2023-02-15,Keyboard,Argentina,Store_B,6,80,40
2023-02-15,Monitor,Argentina,Store_C,9,300,200
2023-02-16,Mouse,Spain,Store_C,1,50,20
2023-02-16,Mouse,Spain,Store_A,7,50,20
2023-02-16,Monitor,Argentina,Store_B,6,300,200
2023-02-16,Headset,Spain,Store_C,4,100,60
2023-02-16,Laptop,Spain,Store_C,10,1200,800
2023-02-16,Mouse,Spain,Store_B,2,50,20
2023-02-16,Headset,USA,Store_C,5,100,60
2023-02-16,Laptop,Argentina,Store_C,4,1200,800
2023-02-17,Keyboard,USA,Store_A,8,80,40
2023-02-18,Keyboard,Spain,Store_B,9,80,40
2023-02-18,Keyboard,USA,Store_A,6,80,40
2023-02-18,Keyboard,Spain,Store_B,6,80,40
2023-02-18,Laptop,Argentina,Store_C,6,1200,800
2023-02-19,Monitor,Argentina,Store_C,10,300,200
2023-02-19,Keyboard,Spain,Store_C,2,80,40
2023-02-19,Laptop,Spain,Store_B,10,1200,800
2023-02-19,Headset,Spain,Store_B,7,100,60
2023-02-19,Monitor,Argentina,Store_A,2,300,200
2023-02-19,Mouse,Spain,Store_B,7,50,20
2023-02-19,Monitor,Argentina,Store_B,7,300,200
2023-02-19,Monitor,Spain,Store_A,6,300,200
2023-02-19,Headset,Argentina,Store_C,7,100,60
2023-02-20,Keyboard,USA,Store_A,6,80,40
2023-02-20,Laptop,Argentina,Store_B,2,1200,800
2023-02-20,Headset,Argentina,Store_C,9,100,60
2023-02-20,Mouse,Argentina,Store_A,8,50,20
2023-02-20,Headset,Spain,Store_A,1,100,60
2023-02-20,Laptop,USA,Store_A,4,1200,800
2023-02-20,Laptop,Argentina,Store_A,4,1200,800
2023-02-21,Headset,Argentina,Store_C,10,100,60
2023-02-21,Headset,Argentina,Store_C,7,100,60
2023-02-21,Laptop,Argentina,Store_A,6,1200,800
2023-02-21,Mouse,Spain,Store_C,2,50,20
2023-02-21,Keyboard,USA,Store_C,9,80,40
2023-02-21,Mouse,Argentina,Store_A,1,50,20
2023-02-21,Keyboard,Spain,Store_A,10,80,40
2023-02-21,Mouse,Argentina,Store_A,3,50,20
2023-02-21,Keyboard,Argentina,Store_C,3,80,40
2023-02-22,Laptop,Spain,Store_B,10,1200,800
2023-02-22,Monitor,Argentina,Store_B,7,300,200
2023-02-22,Mouse,Argentina,Store_B,10,50,20
2023-02-22,Keyboard,Spain,Store_A,3,80,40
2023-02-22,Monitor,Spain,Store_A,1,300,200
2023-02-22,Headset,Spain,Store_C,6,100,60
2023-02-22,Keyboard,Argentina,Store_B,4,80,40
2023-02-22,Keyboard,Spain,Store_C,9,80,40
2023-02-23,Keyboard,Argentina,Store_A,4,80,40
2023-02-23,Headset,Spain,Store_A,10,100,60
2023-02-23,Keyboard,USA,Store_A,9,80,40
2023-02-23,Monitor,USA,Store_B,1,300,200
2023-02-23,Laptop,Argentina,Store_C,3,1200,800
2023-02-24,Laptop,Argentina,Store_A,6,1200,800
2023-02-24,Laptop,USA,Store_B,4,1200,800
2023-02-24,Keyboard,Argentina,Store_C,6,80,40
2023-02-24,Headset,Argentina,Store_A,10,100,60
2023-02-24,Keyboard,Spain,Store_C,6,80,40
2023-02-24,Mouse,Spain,Store_B,8,50,20
2023-02-24,Keyboard,Spain,Store_C,9,80,40
2023-02-24,Monitor,USA,Store_B,6,300,200
2023-02-24,Headset,Argentina,Store_C,3,100,60
2023-02-24,Laptop,Spain,Store_B,8,1200,800
2023-02-24,Laptop,Argentina,Store_B,7,1200,800
2023-02-25,Headset,Argentina,Store_A,2,100,60
2023-02-25,Mouse,Spain,Store_B,8,50,20
2023-02-25,Laptop,Argentina,Store_C,7,1200,800
2023-02-26,Keyboard,Argentina,Store_A,10,80,40
2023-02-26,Laptop,Spain,Store_B,8,1200,800
2023-02-26,Mouse,Spain,Store_C,10,50,20
2023-02-26,Keyboard,Argentina,Store_B,2,80,40
2023-02-26,Monitor,USA,Store_B,3,300,200
2023-02-26,Laptop,Spain,Store_C,4,1200,800
2023-02-26,Monitor,Spain,Store_C,5,300,200
2023-02-26,Keyboard,Argentina,Store_B,4,80,40
2023-02-26,Monitor,Argentina,Store_B,3,300,200
2023-02-26,Headset,Argentina,Store_C,1,100,60
2023-02-27,Laptop,Argentina,Store_A,6,1200,800
2023-02-27,Keyboard,USA,Store_C,8,80,40
2023-02-27,Monitor,Spain,Store_A,3,300,200
2023-02-27,Mouse,USA,Store_B,7,50,20
2023-02-27,Mouse,Spain,Store_A,10,50,20
2023-02-27,Mouse,USA,Store_C,10,50,20
2023-02-27,Keyboard,Spain,Store_A,10,80,40
2023-02-27,Monitor,USA,Store_C,8,300,200
2023-02-27,Headset,Spain,Store_C,1,100,60
2023-02-27,Mouse,Argentina,Store_C,4,50,20
2023-02-27,Laptop,Spain,Store_A,5,1200,800
2023-02-27,Monitor,Spain,Store_A,1,300,200
2023-02-27,Headset,Spain,Store_C,9,100,60
2023-02-27,Keyboard,Spain,Store_C,7,80,40
2023-02-27,Headset,USA,Store_C,3,100,60
2023-02-28,Mouse,USA,Store_B,2,50,20
2023-02-28,Headset,USA,Store_A,9,100,60
2023-02-28,Keyboard,Argentina,Store_B,8,80,40
2023-02-28,Laptop,Spain,Store_A,1,1200,800
2023-02-28,Mouse,USA,Store_B,1,50,20
2023-02-28,Keyboard,Argentina,Store_C,5,80,40
2023-03-01,Laptop,USA,Store_A,9,1200,800
2023-03-01,Keyboard,Argentina,Store_B,6,80,40
2023-03-01,Headset,Spain,Store_B,9,100,60
2023-03-01,Laptop,Spain,Store_B,7,1200,800
2023-03-01,Laptop,Spain,Store_A,2,1200,800
2023-03-01,Keyboard,Spain,Store_B,8,80,40
2023-03-01,Monitor,USA,Store_A,2,300,200
2023-03-01,Laptop,Spain,Store_A,1,1200,800
2023-03-01,Monitor,Argentina,Store_B,8,300,200
2023-03-02,Laptop,Spain,Store_A,4,1200,800
2023-03-02,Mouse,Spain,Store_C,5,50,20
2023-03-02,Headset,USA,Store_C,1,100,60
2023-03-02,Mouse,Spain,Store_C,3,50,20
2023-03-02,Headset,Spain,Store_A,7,100,60
2023-03-02,Keyboard,Spain,Store_C,2,80,40
2023-03-02,Headset,Spain,Store_C,5,100,60
2023-03-02,Keyboard,Spain,Store_A,9,80,40
2023-03-03,Mouse,USA,Store_B,6,50,20
2023-03-03,Monitor,Argentina,Store_A,10,300,200
2023-03-03,Laptop,USA,Store_A,9,1200,800
2023-03-03,Headset,Spain,Store_A,8,100,60
2023-03-04,Keyboard,USA,Store_A,7,80,40
2023-03-04,Keyboard,Spain,Store_C,7,80,40
2023-03-04,Monitor,USA,Store_C,4,300,200
2023-03-04,Mouse,USA,Store_B,8,50,20
2023-03-04,Keyboard,USA,Store_C,6,80,40
2023-03-04,Mouse,USA,Store_B,7,50,20
2023-03-04,Mouse,Spain,Store_A,7,50,20
2023-03-05,Mouse,Spain,Store_B,3,50,20
2023-03-05,Monitor,USA,Store_C,1,300,200
2023-03-06,Laptop,USA,Store_A,7,1200,800
2023-03-06,Laptop,USA,Store_A,1,1200,800
2023-03-06,Monitor,USA,Store_A,1,300,200
2023-03-06,Keyboard,USA,Store_B,5,80,40
2023-03-06,Keyboard,Argentina,Store_B,4,80,40
2023-03-06,Headset,Argentina,Store_B,8,100,60
2023-03-06,Headset,Spain,Store_C,10,100,60
2023-03-06,Keyboard,USA,Store_B,8,80,40
2023-03-06,Keyboard,Spain,Store_B,10,80,40
2023-03-07,Monitor,USA,Store_B,6,300,200
2023-03-07,Mouse,USA,Store_C,2,50,20
2023-03-07,Monitor,USA,Store_B,6,300,200
2023-03-07,Monitor,Spain,Store_C,4,300,200
2023-03-07,Headset,Spain,Store_C,7,100,60
2023-03-07,Mouse,Argentina,Store_A,7,50,20
2023-03-07,Monitor,Argentina,Store_C,9,300,200
2023-03-07,Headset,Argentina,Store_C,6,100,60
2023-03-07,Laptop,USA,Store_B,7,1200,800
2023-03-08,Keyboard,Spain,Store_A,2,80,40
2023-03-08,Mouse,Argentina,Store_C,4,50,20
2023-03-08,Monitor,Spain,Store_A,5,300,200
2023-03-08,Mouse,Spain,Store_B,8,50,20
2023-03-08,Mouse,Argentina,Store_B,9,50,20
2023-03-08,Monitor,Spain,Store_A,2,300,200
2023-03-08,Headset,USA,Store_B,9,100,60
2023-03-08,Monitor,USA,Store_B,3,300,200
2023-03-08,Mouse,USA,Store_C,5,50,20
2023-03-08,Headset,USA,Store_C,9,100,60
2023-03-08,Monitor,Spain,Store_B,10,300,200
2023-03-08,Headset,Argentina,Store_A,8,100,60
2023-03-08,Keyboard,Spain,Store_A,8,80,40
2023-03-08,Headset,Argentina,Store_B,6,100,60
2023-03-08,Keyboard,Spain,Store_B,2,80,40
2023-03-08,Headset,USA,Store_C,4,100,60
2023-03-08,Headset,USA,Store_B,8,100,60
2023-03-09,Monitor,USA,Store_A,5,300,200
2023-03-09,Monitor,USA,Store_C,5,300,200
2023-03-09,Keyboard,Argentina,Store_A,5,80,40
2023-03-09,Headset,Spain,Store_C,9,100,60
2023-03-09,Monitor,USA,Store_B,3,300,200
2023-03-09,Laptop,USA,Store_B,9,1200,800
2023-03-09,Headset,USA,Store_C,5,100,60
2023-03-09,Headset,USA,Store_A,7,100,60
2023-03-09,Mouse,USA,Store_C,5,50,20
2023-03-09,Laptop,USA,Store_B,10,1200,800
2023-03-10,Keyboard,Argentina,Store_C,7,80,40
2023-03-10,Monitor,Spain,Store_B,9,300,200
2023-03-10,Headset,Argentina,Store_C,6,100,60
2023-03-10,Monitor,Argentina,Store_C,1,300,200
2023-03-10,Monitor,USA,Store_B,1,300,200
2023-03-10,Keyboard,USA,Store_B,9,80,40
2023-03-10,Keyboard,USA,Store_A,7,80,40
2023-03-11,Monitor,Argentina,Store_A,9,300,200
2023-03-11,Mouse,Argentina,Store_C,7,50,20
2023-03-11,Keyboard,Argentina,Store_A,10,80,40
2023-03-11,Keyboard,USA,Store_C,8,80,40
2023-03-11,Monitor,USA,Store_C,2,300,200
2023-03-11,Keyboard,Argentina,Store_C,4,80,40
2023-03-11,Headset,Spain,Store_A,5,100,60
2023-03-11,Laptop,USA,Store_C,10,1200,800
2023-03-11,Monitor,Spain,Store_C,7,300,200
2023-03-11,Keyboard,Spain,Store_B,7,80,40
